Messung,Soll,Ist,Abweichung in Y,Abweichung in X
1,0.38,0.384105033774,0.00410503377431,-0.00463739049234
2,0.36,0.363744172544,0.00374417254372,-0.00452735355327
3,0.34,0.345982751409,0.00598275140886,-0.00154797827775
4,0.32,0.325462791325,0.00546279132516,-0.000763386725003
5,0.3,0.305559513622,0.00555951362172,-0.000679723045307
6,0.28,0.284709481911,0.00470948191117,-0.000226970061993
7,0.26,0.264421656074,0.00442165607367,-0.00162922666604
8,0.24,0.245042916956,0.00504291695557,-0.000573745548591
9,0.22,0.224314191809,0.00431419180921,-0.00295353258985
10,0.2,0.20336455147,0.00336455147026,0.00143466171258
1,0.38,0.385158564929,0.00515856492886,-0.00426546419678
2,0.36,0.364670526947,0.00467052694744,-0.00164686361614
3,0.34,0.345939471414,0.00593947141446,0.00143717420362
4,0.32,0.325504792237,0.00550479223729,0.000262627248559
5,0.3,0.303885932154,0.00388593215446,-0.00121581704775
6,0.28,0.284859906301,0.00485990630082,-2.17209712863e-05
7,0.26,0.263860870479,0.00386087047926,-0.000812443899698
8,0.24,0.243110141181,0.00311014118068,-0.000438612210216
9,0.22,0.223852332772,0.00385233277214,-0.000662233796276
10,0.2,0.20320021571,0.00320021571018,0.000755419843586
1,0.38,0.386125282015,0.00612528201512,-0.00440641488179
2,0.36,0.363960529097,0.00396052909742,-0.00299269959519
3,0.34,0.34462675373,0.00462675372996,-0.00163064072776
4,0.32,0.32524974358,0.00524974357975,-0.000898199745666
5,0.3,0.305541090468,0.00554109046826,-0.00187215113114
6,0.28,0.285478431761,0.00547843176121,0.000712625455295
7,0.26,0.264246040198,0.00424604019831,0.000188898977822
8,0.24,0.243865150614,0.00386515061396,-0.000340813984574
9,0.22,0.224219152769,0.00421915276895,-0.000928600700863
10,0.2,0.20261859146,0.00261859145955,0.000296016350557
1,0.38,0.384672056759,0.00467205675906,-0.00349819205906
2,0.36,0.364688370976,0.00468837097646,-0.00060437647032
3,0.34,0.343984076354,0.00398407635441,-0.00105721200548
4,0.32,0.323940104146,0.00394010414562,-0.000310999313345
5,0.3,0.304206691594,0.00420669159431,-0.000695916388383
6,0.28,0.284398407642,0.00439840764201,-8.0395894716e-05
7,0.26,0.264588535276,0.00458853527559,-0.000817419898189
8,0.24,0.245026333367,0.00502633336665,-0.000526918162459
9,0.22,0.224004047034,0.00400404703354,0.000161043516297
10,0.2,0.203027077269,0.00302707726854,0.00144227160355
1,0.38,0.386368258867,0.00636825886703,-0.00294857445517
2,0.36,0.363888331902,0.0038883319018,-0.00176018435287
3,0.34,0.34493832665,0.00493832664995,-0.000179152288295
4,0.32,0.32428804736,0.00428804735975,-0.00158442440467
5,0.3,0.304729161091,0.00472916109123,-0.00161017468515
6,0.28,0.28461858927,0.00461858927039,-0.000590339844649
7,0.26,0.264599087689,0.00459908768865,-0.000953065779008
8,0.24,0.244257436944,0.00425743694429,0.0010349325764
9,0.22,0.223215863329,0.0032158633294,-0.000482831675798
10,0.2,0.20304655451,0.00304655450988,0.000847175450332
1,0.38,0.384770714819,0.00477071481894,-0.00238729697636
2,0.36,0.364280816326,0.00428081632609,-0.00130275713484
3,0.34,0.344776074371,0.00477607437078,-0.00108424757787
4,0.32,0.325419573429,0.00541957342934,-0.00124996365974
5,0.3,0.305079693395,0.00507969339501,-0.00138931404331
6,0.28,0.285271403523,0.00527140352346,0.00055957681305
