Messung,Soll,Ist,Abweichung in X,Abweichung in Y
1,0.58,0.578197748334,-0.00180225166629,0.00234253601263
2,0.6,0.600317931757,0.000317931757394,0.00107801979455
3,0.62,0.620507134536,0.000507134535895,0.00130466504019
4,0.64,0.640106928278,0.000106928278422,0.00129118108578
5,0.66,0.66058732333,0.000587323329837,-0.000283966394458
6,0.68,0.680655878433,0.000655878432821,0.00105254596794
7,0.7,0.700886855666,0.000886855665649,0.00229342298586
8,0.72,0.721712781808,0.00171278180816,0.00175556358682
9,0.74,0.741121957935,0.00112195793484,0.0032773225454
10,0.76,0.760184140177,0.00018414017694,0.00265526472899
1,0.58,0.579409895715,-0.000590104284846,0.000664659686822
2,0.6,0.59922190297,-0.000778097030293,0.0015552922317
3,0.62,0.620497350535,0.000497350535105,0.00151040182276
4,0.64,0.641414041736,0.00141404173629,0.00151959380394
5,0.66,0.660704288063,0.000704288062755,0.00141011563601
6,0.68,0.680333930542,0.000333930541685,0.00144612330314
7,0.7,0.701208895687,0.00120889568689,0.000790962233339
8,0.72,0.72095829076,0.000958290759918,0.00290789182942
9,0.74,0.741705092245,0.00170509224463,0.00336981191017
10,0.76,0.76022092316,0.000220923160298,0.00369918724202
1,0.58,0.57919463616,-0.000805363839862,0.00266227135057
2,0.6,0.599488892434,-0.000511107565844,0.00165966544499
3,0.62,0.619707855094,-0.000292144905873,0.000436365604837
4,0.64,0.640378987527,0.000378987527416,0.000342109417964
5,0.66,0.660259944751,0.00025994475132,-0.000352239166339
6,0.68,0.680009772041,9.7720408635e-06,0.000272178223834
7,0.7,0.700921908482,0.000921908481523,0.00221537357423
8,0.72,0.720434335536,0.000434335536111,0.00266659520106
9,0.74,0.741200541946,0.00120054194577,0.00449416327282
10,0.76,0.760145195527,0.000145195527127,0.00459962308187
1,0.58,0.578628795997,-0.00137120400274,0.00255306255211
2,0.6,0.59974019083,-0.000259809169599,0.00182228220368
3,0.62,0.619642845509,-0.000357154490772,0.000276360608074
4,0.64,0.640097020518,9.70205180244e-05,0.000763348127956
5,0.66,0.659912224921,-8.77750792164e-05,0.000851225897478
6,0.68,0.679922952707,-7.70472933523e-05,0.00102784162574
7,0.7,0.700820758503,0.000820758502685,0.000924028236496
8,0.72,0.720253185438,0.000253185437545,0.00277858834829
9,0.74,0.740965584573,0.000965584573042,0.00589889598951
10,0.76,0.760085372388,8.53723883758e-05,0.00357382141374
1,0.58,0.57974852107,-0.000251478929559,0.00219154956428
2,0.6,0.599614154111,-0.000385845888973,0.000312228901858
3,0.62,0.621177852994,0.00117785299363,0.000868574222359
4,0.64,0.64007540661,7.54066099588e-05,0.00110216369563
5,0.66,0.660906557431,0.00090655743122,0.000566346277161
6,0.68,0.680408018402,0.000408018402229,0.000617345908835
7,0.7,0.701293952574,0.00129395257408,0.00298158746736
8,0.72,0.7204450453,0.000445045300178,0.00390177289649
9,0.74,0.741032055429,0.00103205542886,0.00365767445333
10,0.76,0.76066092261,0.000660922609745,0.00408208638019
1,0.58,0.578148042215,-0.00185195778468,0.00291390156768
2,0.6,0.598859186546,-0.00114081345395,0.00170631988657
3,0.62,0.620104808416,0.000104808416331,0.000992018013771
4,0.64,0.640559303428,0.00055930342753,0.000918925773265
5,0.66,0.660977201205,0.000977201205078,0.00142783364616
6,0.68,0.681129211357,0.00112921135689,0.00172410151203
7,0.7,0.700437776601,0.000437776600801,0.00280944142758
8,0.72,0.720505489361,0.000505489360569,0.00423956032328
9,0.74,0.740473074196,0.000473074195649,0.00424683962569
10,0.76,0.762158564602,0.00215856460194,0.00336460661553
1,0.58,0.578099142247,-0.00190085775286,0.00259768751546
2,0.6,0.59890913718,-0.00109086281981,0.00121463988012
3,0.62,0.620117963692,0.000117963691682,7.58126763954e-05
4,0.64,0.640235373271,0.000235373271028,0.00129490019594
5,0.66,0.660555979809,0.00055597980863,0.00142460880766
6,0.68,0.680528938904,0.000528938904176,0.000885628553416
7,0.7,0.700296225956,0.000296225955636,0.00327580685695
8,0.72,0.720706964388,0.000706964388152,0.00434536810252
9,0.74,0.740878147801,0.000878147800989,0.00231074586042
10,0.76,0.760591619508,0.000591619508019,0.00237777246248
1,0.58,0.579076094312,-0.000923905688102,0.00148509784828
2,0.6,0.601042564973,0.00104256497273,0.00106437425876
3,0.62,0.619678754494,-0.000321245506285,0.000444058400312
4,0.64,0.641298859235,0.0012988592348,0.00112056282317
5,0.66,0.660618272381,0.000618272380558,0.00116235604499
6,0.68,0.680434465472,0.000434465471773,0.0025151810339
7,0.7,0.700439364843,0.00043936484327,0.00486826589287
8,0.72,0.721032645045,0.00103264504531,0.00304826905707
9,0.74,0.740884461573,0.000884461573404,0.00197727536329
10,0.76,0.760533109507,0.00053310950663,0.00233149322656
1,0.58,0.57868188579,-0.00131811420952,0.00216391305617
2,0.6,0.599743709855,-0.000256290144811,0.000302030240149
3,0.62,0.619391132911,-0.000608867089332,0.00149163561187
4,0.64,0.640543724614,0.00054372461353,0.00104638273442
5,0.66,0.660324555628,0.000324555628167,0.00092865300201
6,0.68,0.679641105009,-0.000358894990654,0.00294870223526
7,0.7,0.700723311811,0.000723311810524,0.00401034731722
8,0.72,0.720666601037,0.000666601036899,0.00336292708089
9,0.74,0.740822439041,0.000822439040851,0.00365729047098
10,0.76,0.760483119282,0.000483119282011,0.00152003643851
1,0.58,0.579255235047,-0.000744764953066,0.000793683347462
2,0.6,0.600108201055,0.000108201054537,0.00113054020319
3,0.62,0.620232227091,0.000232227091404,5.27812844202e-05
4,0.64,0.640245177066,0.000245177066255,0.00129243451735
5,0.66,0.660245238687,0.000245238686875,-0.000141674405749
6,0.68,0.680747723533,0.000747723533028,0.00286178306084
7,0.7,0.70086234689,0.000862346890025,0.00367894497922
8,0.72,0.720185673697,0.000185673697203,0.00389747806501
9,0.74,0.740957006559,0.000957006558788,0.00245378556774
10,0.76,0.7599129966,-8.70033999879e-05,0.00149028981242
