Messung,Soll,Ist,Abweichung in Y,Abweichung in X
1,-0.22,-0.217346504727,0.00265349527268,-0.00160919455403
2,-0.24,-0.239140690501,0.000859309499097,-0.00195062860812
3,-0.26,-0.258997724357,0.00100227564283,-0.000796005133891
4,-0.28,-0.277350203783,0.00264979621664,-0.00108434332672
5,-0.3,-0.2979731318,0.00202686819962,-0.0030036030437
6,-0.32,-0.317447205151,0.00255279484897,0.00149912576903
7,-0.34,-0.337385728741,0.00261427125895,0.00325189331522
8,-0.36,-0.358946485151,0.00105351484943,0.00137323069034
9,-0.38,-0.378925950034,0.00107404996634,0.000523548629695
10,-0.4,-0.398280751698,0.00171924830215,-0.00100027725298
1,-0.22,-0.218275842581,0.00172415741933,0.000432902460913
2,-0.24,-0.237858762449,0.00214123755083,-0.000376143154011
3,-0.26,-0.259009951379,0.000990048620565,-0.00150200066732
4,-0.28,-0.278061029391,0.00193897060926,-0.00128906427504
5,-0.3,-0.298131069509,0.00186893049134,-0.0011876797376
6,-0.32,-0.317028030585,0.00297196941451,-0.000330018512204
7,-0.34,-0.338634226998,0.00136577300213,0.00249106823609
8,-0.36,-0.357785696688,0.00221430331243,0.00151506314963
9,-0.38,-0.378882886816,0.0011171131842,0.000648318285155
10,-0.4,-0.39953431398,0.000465686019931,-0.000618196490186
1,-0.22,-0.217786687457,0.00221331254301,0.000491658793369
2,-0.24,-0.239331023781,0.000668976219445,-0.000942568902318
3,-0.26,-0.258247320119,0.00175267988126,-0.0016852513446
4,-0.28,-0.278747800315,0.00125219968493,-0.00201542649639
5,-0.3,-0.298428613739,0.0015713862609,0.000578935528003
6,-0.32,-0.318942597852,0.00105740214829,0.00185459764408
7,-0.34,-0.338161992879,0.0018380071212,0.00213657230313
8,-0.36,-0.358658406693,0.00134159330733,0.00115085545191
9,-0.38,-0.377813993029,0.00218600697076,-0.000542782055488
10,-0.4,-0.397197390266,0.00280260973368,-0.000603785872712
1,-0.22,-0.219215200333,0.000784799667467,0.000220811906635
2,-0.24,-0.238559900171,0.00144009982888,-0.000174441031545
3,-0.26,-0.25921859909,0.000781400910179,-0.00157855968563
4,-0.28,-0.277772446319,0.00222755368058,-0.00148678303364
5,-0.3,-0.298121573495,0.0018784265048,-0.00174294299461
6,-0.32,-0.318313412641,0.00168658735883,-5.93659882654e-05
7,-0.34,-0.338373602229,0.00162639777073,0.00276715414258
8,-0.36,-0.359162702985,0.000837297014649,0.00225206599371
9,-0.38,-0.378236193075,0.00176380692461,0.000588229398571
10,-0.4,-0.397078249994,0.00292175000619,-0.000571959993765
1,-0.22,-0.218594782513,0.00140521748678,0.0018385320279
2,-0.24,-0.239708887794,0.000291112205508,-9.29986748066e-06
3,-0.26,-0.25949092266,0.000509077339703,-0.00098307357397
4,-0.28,-0.279088692566,0.000911307434099,-0.00192502260933
5,-0.3,-0.298015610039,0.00198438996094,-0.00219896844314
6,-0.32,-0.317580560702,0.00241943929806,-0.000385672268052
7,-0.34,-0.338382233695,0.0016177663052,0.00308540202593
8,-0.36,-0.358542634823,0.00145736517722,0.00267177221921
9,-0.38,-0.377088694123,0.00291130587699,0.000591617754409
10,-0.4,-0.397338269736,0.00266173026439,0.000923969150753
1,-0.22,-0.218885399294,0.00111460070605,-0.00022759414541
2,-0.24,-0.238803124826,0.00119687517442,-4.28447941476e-05
3,-0.26,-0.258017671568,0.00198232843232,-0.000751508325277
4,-0.28,-0.277686018438,0.00231398156237,-0.000892224518623
5,-0.3,-0.297088490358,0.0029115096421,-0.00129541526471
6,-0.32,-0.318176776974,0.00182322302632,-0.000269625668288
7,-0.34,-0.338405863215,0.0015941367852,0.00183824476718
8,-0.36,-0.358456658109,0.00154334189094,0.00181877700229
9,-0.38,-0.378168633103,0.00183136689683,0.000330926682122
10,-0.4,-0.399360265478,0.000639734522251,-0.00140079588017
1,-0.22,-0.218375455553,0.00162454444714,-0.000214036028248
2,-0.24,-0.238939019062,0.00106098093826,0.000509541780689
3,-0.26,-0.258844629765,0.00115537023537,0.000118275874712
