Messung,Soll,Ist,Abweichung in Y,Abweichung in X
1,-0.38,-0.381340601912,-0.00134060191203,-0.00272941442631
2,-0.36,-0.363424988322,-0.00342498832179,-0.00110808749149
3,-0.34,-0.343407987699,-0.00340798769929,0.000294923823573
4,-0.32,-0.323099817203,-0.00309981720302,-0.0019509137967
5,-0.3,-0.302800064948,-0.00280006494783,-0.00146604016653
6,-0.28,-0.284076523804,-0.00407652380399,0.00026848761033
7,-0.26,-0.261597064313,-0.00159706431307,7.20557459226e-05
8,-0.24,-0.243013971337,-0.00301397133656,-0.000959468931517
9,-0.22,-0.222001122793,-0.00200112279276,-0.00204592409723
10,-0.2,-0.202570225747,-0.00257022574651,0.000829691419885
1,-0.38,-0.38369816052,-0.00369816051964,-0.00285928396133
2,-0.36,-0.36336891275,-0.00336891274971,-0.00102932584958
3,-0.34,-0.344166742904,-0.00416674290407,-0.000397246752373
4,-0.32,-0.324194800544,-0.00419480054442,0.00036876864264
5,-0.3,-0.304207727495,-0.00420772749469,0.000396679701997
6,-0.28,-0.283677968093,-0.00367796809324,-0.00158364674613
7,-0.26,-0.262860086271,-0.00286008627086,-0.000717614693338
8,-0.24,-0.243100596616,-0.00310059661555,-0.00162534725448
9,-0.22,-0.223430215976,-0.00343021597646,-0.000490766840397
10,-0.2,-0.202673493799,-0.00267349379868,0.00103285918725
1,-0.38,-0.381778205174,-0.00177820517359,-0.00281981776439
2,-0.36,-0.363942906006,-0.00394290600618,-0.000570225193336
3,-0.34,-0.34261760801,-0.00261760801014,-0.00164931905226
4,-0.32,-0.324558950692,-0.00455895069229,-0.000277246160374
5,-0.3,-0.304743818808,-0.00474381880838,-0.00135915474414
6,-0.28,-0.284050058085,-0.00405005808517,-0.00206553016917
7,-0.26,-0.262964738003,-0.00296473800304,0.000876920034856
8,-0.24,-0.242703925605,-0.00270392560546,0.00180038931614
9,-0.22,-0.221649909341,-0.00164990934118,0.000901033543615
10,-0.2,-0.201964021153,-0.00196402115259,0.00200421554109
1,-0.38,-0.381971658702,-0.00197165870239,-0.00181563342494
2,-0.36,-0.361229212088,-0.00122921208802,-0.000726408427458
3,-0.34,-0.340834114152,-0.00083411415201,-0.000943216126054
4,-0.32,-0.322589818175,-0.00258981817507,0.00045615583776
5,-0.3,-0.302030883494,-0.00203088349429,-0.00125704736094
6,-0.28,-0.283365601538,-0.00336560153834,0.000462096742784
7,-0.26,-0.262252116728,-0.00225211672815,-7.66343954034e-05
8,-0.24,-0.243612718441,-0.00361271844111,-8.55181293108e-05
9,-0.22,-0.223571241637,-0.00357124163661,-0.00145222868429
10,-0.2,-0.202671523372,-0.0026715233717,-0.000278440680369
1,-0.38,-0.384303411189,-0.00430341118948,-0.0023827585503
2,-0.36,-0.36348637284,-0.00348637284036,-0.000163997460865
3,-0.34,-0.343030724444,-0.00303072444422,-0.000840893704768
4,-0.32,-0.322586357254,-0.00258635725352,-0.00122471869749
5,-0.3,-0.302851418671,-0.00285141867137,-0.00131482658408
6,-0.28,-0.282629160696,-0.0026291606958,-0.00114046361186
7,-0.26,-0.263289494517,-0.00328949451673,-0.000484036016328
8,-0.24,-0.242819657072,-0.0028196570719,-0.000878519883337
9,-0.22,-0.223227449524,-0.00322744952437,-0.00189838123307
