Pose,x_diff[mm],y_diff[mm],z_diff[mm],,
y28x59,-4.05728644089,1.30612190815,-2.04353025581,,
y22x47,-1.84552042116,3.01387815975,-0.455161998852,,
y25x44,-3.74673979132,1.77049766276,-0.699646878692,,
y25x41,-2.93662670355,2.87834710088,-0.755700184633,,
y28x38,-3.16722462587,2.12360341862,-0.711578216247,,
y19x50,0.447804001991,1.71118537826,0.251953995505,,
y25x59,-3.35261022933,2.32920801065,-1.93520347094,,
y19x38,-2.0135442889,-0.183040306185,-0.458420091898,,
y19x53,-2.24073206397,0.398678871001,-1.11927836914,,
y22x44,-2.43577396812,1.31534062268,-0.46967226758,,
y19x56,-1.77530510617,2.5723866975,-0.701954184762,,
y22x62,-0.821381254869,2.63773958193,-0.185848795352,,
y19x59,-1.49591164021,3.05626406475,-0.246333015305,,
y25x62,-0.570727096679,2.8064284599,0.0166989260479,,
y22x65,-1.87720794871,3.55177925465,-0.862701952126,,
y10x41,-2.06039811068,-0.528917002697,0.0736838883268,,
y13x65,0.011728321888,3.0991030185,0.139695019478,,
y10x65,-0.691388197316,4.32946396287,-0.905569089782,,
y10x44,-1.85540418325,-0.454784800508,-0.65832375131,,
y13x62,-1.2868240825,0.214835852868,0.227019359333,,
y16x62,-0.167310384763,5.15634852978,-0.104066609061,,
y10x47,-0.667770602401,-1.67991399122,-0.145086056076,,
y25x56,-1.77175259564,0.480595604701,-0.774092627018,,
y25x53,-1.63314354577,2.17829257554,-0.35486195509,,
y28x41,-4.61118402407,1.77635452784,-0.980947727892,,
y25x50,0.359727480628,1.58783620202,0.494725716292,,
y22x41,-3.8381218448,1.540771855,-1.18885535241,,
y28x47,-1.23344010656,2.6857489336,0.0310332391739,,
y28x44,-3.51524813327,2.45896548762,-0.876707258256,,
y13x44,0.537637049494,1.12764142625,-0.0525767851134,,
y13x47,0.431724420855,1.34702454166,0.0242047209782,,
y16x41,-2.21878055653,-1.84000841995,-0.112680378283,,
y13x41,-2.16367687567,0.477497003236,-0.417450681146,,
y16x47,-0.29020941916,-0.0286083868166,0.271572278773,,
