Messung,Soll,Ist,Abweichung in Y,Abweichung in X
1,-0.38,-0.380629286911,-0.000629286910942,-0.00284950217678
2,-0.36,-0.362855562306,-0.00285556230568,-2.86866537385e-05
3,-0.34,-0.344123602748,-0.00412360274801,0.000896056625048
4,-0.32,-0.323589361568,-0.0035893615683,-0.00110282393636
5,-0.3,-0.303674231017,-0.00367423101697,-0.000508013045668
6,-0.28,-0.282905462075,-0.00290546207493,-0.0012214211118
7,-0.26,-0.263011178694,-0.00301117869406,-0.0015878366468
8,-0.24,-0.244232075725,-0.00423207572456,-0.00127460913529
9,-0.22,-0.223409452394,-0.00340945239443,-0.00131050608397
10,-0.2,-0.202709805055,-0.00270980505508,0.000611140856896
11,-0.38,-0.384812539749,-0.00481253974937,-0.00176610621599
12,-0.36,-0.362485622486,-0.00248562248575,-0.00117926411315
13,-0.34,-0.343700251382,-0.00370025138239,0.000603568169775
14,-0.32,-0.322436716997,-0.00243671699723,-0.00164100356211
15,-0.3,-0.302891177488,-0.00289117748803,-0.00119099782908
16,-0.28,-0.283858339272,-0.00385833927178,-0.00137619395094
17,-0.26,-0.263437044988,-0.00343704498845,-0.000582457973101
18,-0.24,-0.242770684614,-0.00277068461448,-0.000698734175561
19,-0.22,-0.222389174544,-0.00238917454408,-0.00137535550396
20,-0.2,-0.202638398511,-0.00263839851082,0.000785315020039
21,-0.38,-0.384149867604,-0.00414986760384,-0.0015400942467
22,-0.36,-0.362234346016,-0.00223434601612,-0.00111272867924
23,-0.34,-0.343251426131,-0.00325142613091,-7.81710666017e-05
24,-0.32,-0.322443248495,-0.00244324849466,4.15724958848e-05
25,-0.3,-0.303221966751,-0.00322196675109,-0.00147157329424
26,-0.28,-0.283129918504,-0.00312991850417,-0.00207228643497
27,-0.26,-0.262198086685,-0.00219808668536,-0.00102285278464
28,-0.24,-0.24236210046,-0.00236210045967,0.000733837510653
29,-0.22,-0.223196125002,-0.00319612500196,-0.00116042549624
30,-0.2,-0.20335112562,-0.00335112561987,0.000806180755967
31,-0.38,-0.382751165081,-0.00275116508122,-0.00199793111216
32,-0.36,-0.362507983268,-0.00250798326818,-0.00121802370962
33,-0.34,-0.343230386204,-0.00323038620408,-0.00119083578266
34,-0.32,-0.322939480438,-0.00293948043764,-0.000660264840298
35,-0.3,-0.303397273426,-0.00339727342644,0.000462656821445
36,-0.28,-0.283134430119,-0.00313443011938,-0.00208239394964
37,-0.26,-0.262583055022,-0.00258305502207,0.000892130414924
38,-0.24,-0.244182649169,-0.00418264916939,-2.64038424823e-05
39,-0.22,-0.222828122372,-0.00282812237234,-0.00119728933753
40,-0.2,-0.203663645153,-0.00366364515302,0.000783039981821
41,-0.38,-0.383965587296,-0.00396558729649,-0.00264701174403
42,-0.36,-0.363799569821,-0.00379956982106,-0.00191267959274
43,-0.34,-0.343229722387,-0.00322972238727,-0.00209958147228
44,-0.32,-0.323534016167,-0.00353401616696,-0.000479274862941
45,-0.3,-0.303495909303,-0.00349590930273,-0.000984165848657
46,-0.28,-0.283171809805,-0.00317180980505,-0.00058665124863
47,-0.26,-0.263845878576,-0.00384587857618,-0.00029798411682
48,-0.24,-0.242176380565,-0.00217638056509,-0.00025103686017
49,-0.22,-0.222958949949,-0.00295894994897,-0.0011975674447
50,-0.2,-0.201547178539,-0.00154717853873,0.000206404335322
51,-0.38,-0.383309826883,-0.00330982688296,-0.000481650130206
52,-0.36,-0.362427453442,-0.00242745344218,0.000308124494667
53,-0.34,-0.342042237987,-0.00204223798716,-0.00103611094555
54,-0.32,-0.322942430062,-0.002942430062,-0.00105243517599
55,-0.3,-0.302077155641,-0.00207715564088,-0.0012841776009
56,-0.28,-0.283246734331,-0.00324673433139,-0.000900805618457
57,-0.26,-0.262780416812,-0.00278041681163,-0.00108653290724
58,-0.24,-0.243893165022,-0.00389316502215,-0.000703391536019
59,-0.22,-0.223316185408,-0.00331618540831,-0.000669949537235
60,-0.2,-0.201562104903,-0.00156210490299,0.000939836792967
61,-0.38,-0.384230001802,-0.00423000180194,-0.00161734799026
62,-0.36,-0.363935517851,-0.00393551785146,0.00067629097682
63,-0.34,-0.343646959842,-0.00364695984232,-0.000285079071054
64,-0.32,-0.322724779053,-0.00272477905342,-0.000231835277095
65,-0.3,-0.303316036078,-0.00331603607807,-0.000623428787095
66,-0.28,-0.284365173324,-0.00436517332396,-0.00159173131229
67,-0.26,-0.262457985202,-0.00245798520165,-0.000444169663666
68,-0.24,-0.243341214033,-0.00334121403347,-0.00124819555475
69,-0.22,-0.222845198977,-0.00284519897732,-0.00218945992569
70,-0.2,-0.201206774722,-0.0012067747223,0.00144707756618
71,-0.38,-0.383547748619,-0.00354774861907,-0.000661320144072
72,-0.36,-0.36298418004,-0.00298418003951,-0.00156073418914
73,-0.34,-0.343466141403,-0.00346614140257,-0.000243923572145
74,-0.32,-0.322260262775,-0.00226026277452,-0.00288564221874
75,-0.3,-0.304186102708,-0.00418610270791,-0.00141036142904
76,-0.28,-0.283751418736,-0.0037514187361,-0.00117599891021
77,-0.26,-0.263503473056,-0.00350347305634,-2.16562121819e-05
78,-0.24,-0.243065244324,-0.00306524432423,-0.00190629107776
79,-0.22,-0.222675755967,-0.00267575596681,-0.002108081341
80,-0.2,-0.202161207653,-0.0021612076533,0.00119949553049
81,-0.38,-0.382976341949,-0.0029763419492,-0.00148348484259
82,-0.36,-0.363526421949,-0.00352642194926,-0.00129647216541
83,-0.34,-0.343198601016,-0.00319860101637,-0.00043495603292
84,-0.32,-0.322881944793,-0.00288194479288,-0.00213324663368
85,-0.3,-0.303178139706,-0.00317813970607,-0.00161424198728
86,-0.28,-0.283722594887,-0.00372259488737,-0.000365058393101
87,-0.26,-0.263269333722,-0.003269333722,-0.00174133288392
88,-0.24,-0.24268016845,-0.00268016845042,-0.000784989294862
89,-0.22,-0.221844535899,-0.00184453589904,-0.00171217347892
90,-0.2,-0.203010748817,-0.00301074881663,9.51506467785e-05
91,-0.38,-0.38416309101,-0.00416309101019,-0.00099882652484
92,-0.36,-0.362726109631,-0.00272610963117,-0.000801926869339
93,-0.34,-0.342920918181,-0.00292091818114,-0.000323674847372
94,-0.32,-0.322641268409,-0.00264126840901,-0.00316501871705
95,-0.3,-0.303335915785,-0.00333591578486,-0.000892500980064
96,-0.28,-0.283108616356,-0.00310861635633,-0.00137697006695
97,-0.26,-0.263387033243,-0.00338703324307,-0.00157279055615
98,-0.24,-0.24341783044,-0.00341783043988,-0.000573426049781
99,-0.22,-0.223464617442,-0.00346461744227,-0.00125632103549
100,-0.2,-0.20358843744,-0.00358843743951,0.00179387062589
